mmsi,turnrate,shipLength,heading,course,cargo_type,lon,shipWidth,ship_name,speed,lat,postime,ship_status,callsign,destination,imo
413860116,0.0,68.0,511.0,0.0,货轮,118.28091833333332,14.0,,0.0,31.296251666666667,20241022143128,,,,
808664168,0.0,102.0,83.0,83.0,执法船,118.29205833333332,102.0,30(<30(<30(<30(<30(<,0.0,31.40109333333333,20241022143128,,3<$<2((,"0(<30(<30(<2((,0*5D/",707800168.0
413793855,0.0,88.0,511.0,96.0,货轮,118.29777666666666,16.0,HUAQING 9668,5.1,31.303031666666666,20241022143129,1.0,,TAICANG,0.0
413879846,0.0,0.0,511.0,23.3,未知,118.28478666666666,0.0,ZHANG GANG 1916,4.5,31.301683333333333,20241022143122,,,,
413785149,0.0,99.0,511.0,91.8,货轮,118.30155,16.0,,0.0,31.29925,20241022143131,,0000000,,
413819604,0.0,110.0,511.0,287.1,货轮,118.28291,20.0,HUAXIANG1888,0.0,31.299668333333333,20241022143123,1.0,,NANTONG,0.0
413790669,0.0,0.0,511.0,94.1,未知,118.29248333333334,0.0,HEZHOU9988,3.8,31.30285,20241022143126,,,,
413794195,0.0,0.0,278.0,278.4,,118.31369,0.0,,4.5,31.30402833333333,20241022143124,,,,
413794076,71.42446133345274,120.0,511.0,360.0,货轮,118.349235,23.0,,4.1,31.322491666666668,20241022143130,0.0,,,
275544000,0.0,89.0,511.0,1.6,货轮,118.34933833333334,12.0,AZURE,4.9,31.31785333333333,20241022143125,5.0,YLSF,,9963023.0
413798013,0.0,0.0,0.0,1.4,未知,118.34957333333334,0.0,SHENGTONG83,4.8,31.317776666666667,20241022143131,,,,
413876223,0.0,0.0,511.0,359.8,未知,118.35025333333331,0.0,QIANG SHENG 97,4.9,31.32037,20241022143131,,,,
413789438,0.0,74.0,175.0,175.4,货轮,118.33674666666668,13.0,,5.7,31.358753333333333,20241022143125,,00000,,
413873397,0.0,61.0,511.0,263.3,游艇,118.34951333333332,15.0,,0.0,31.345151666666663,20241022143127,0.0,,,
413840914,0.0,0.0,511.0,186.8,未知,118.33622666666666,0.0,LONG CHANG 5001,6.6,31.37059333333333,20241022143125,,,,
