mmsi,turnrate,shipLength,heading,course,cargo_type,lon,shipWidth,ship_name,speed,lat,postime,ship_status,callsign,destination,imo
413820428,0.0,92.0,0.0,358.4,货轮,118.34155333333334,14.0,JIANGYUHENGTONG,4.5,31.385606666666668,20241022143126,0.0,0123B,NANJING,0.0
413804219,0.0,0.0,511.0,189.4,未知,118.33975,0.0,WANSHUNHUIHUANG,4.2,31.3837,20241022143128,,,,
413812583,0.0,0.0,511.0,205.5,未知,118.344275,0.0,YUXINHUO11676,3.7,31.309526666666667,20241022143130,0.0,,,
413793957,0.0,119.0,0.0,44.1,货轮,118.34347333333334,20.0,HUA QING 9969,4.6,31.304735,20241022143126,,TSTAISB,NANJING,0.0
413793413,0.0,85.0,0.0,36.9,货轮,118.34560833333332,15.0,,3.7,31.30611,20241022143128,,,,
413819754,0.0,55.0,511.0,360.0,货轮,118.34762333333332,10.0,HONGDA9718,5.4,31.310105,20241022143124,15.0,,,0.0
413764377,0.0,87.0,511.0,47.2,货轮,118.34267833333334,14.0,MING RUI 598,3.5,31.30298,20241022143126,,0,SHANGHAI,0.0
413789989,0.0,57.0,511.0,130.3,货轮,118.32335833333332,10.0,WANSHOUXIAN9696,0.0,31.41198,20241022143122,1.0,0000000,MAANSHAN,0.0
413826195,0.0,66.0,511.0,93.3,货轮,118.32031166666668,11.0,WANZHONGFA378,0.0,31.417116666666665,20241022143131,0.0,0000000,47,0.0
413769592,0.0,68.0,0.0,61.9,货轮,118.32207333333334,12.0,WANSHUNXIN3288,0.1,31.415821666666663,20241022143123,0.0,3288,36,0.0
413845569,0.0,92.0,511.0,179.1,货轮,118.35015,16.0,,0.0,31.4198,20241022143127,,,,
413795879,0.0,73.0,511.0,360.0,货轮,118.320125,13.0,WANRENHE5688,4.4,31.304126666666665,20241022143131,15.0,,,0.0
413970173,0.0,60.0,511.0,177.0,货轮,118.306535,11.0,WANYINGHE2698,4.6,31.464586666666666,20241022143127,,,,0.0
413830909,0.0,0.0,200.0,200.6,未知,118.338635,0.0,WANYUHANG7799,4.8,31.480453333333333,20241022143128,,,,
413398960,0.0,116.0,511.0,200.9,货轮,118.34009333333331,22.0,JIANG HAI TONG 189,3.1,31.464963333333333,20241022143123,0.0,TEST,WU HU,0.0
413585630,0.0,109.0,511.0,298.8,货轮,118.34056,19.0,SHUN FA HONG YUN 2,0.0,31.46090333333333,20241022143130,1.0,000000,WU HU,0.0
413876735,0.0,67.0,511.0,357.5,货轮,118.34333333333332,11.0,WANYINGHE1266,4.0,31.386326666666665,20241022143124,0.0,1266,TONGLING,0.0
413972187,0.0,68.0,358.0,358.1,货轮,118.343355,13.0,,4.8,31.387935,20241022143124,,5098,,
413970724,0.0,0.0,511.0,1.3,未知,118.34378333333332,0.0,WANHUAINANHUO 1718,4.8,31.357033333333334,20241022143124,,,,
413863553,0.0,0.0,511.0,0.8,未知,118.34249666666666,0.0,JIANG TAI  9        ,5.6,31.36524,20241022143128,,,,
413973031,0.0,0.0,511.0,5.5,未知,118.34354166666668,0.0,SUSIYANGHUO6666,5.3,31.36089833333333,20241022143125,,,,
413882436,0.0,105.0,511.0,346.9,货轮,118.34472333333332,16.0,,4.6,31.34605,20241022143129,0.0,1916,,
413790804,0.0,66.0,511.0,360.0,货轮,118.34527,12.0,WANHONGSHUN1178,4.1,31.34653833333333,20241022143132,15.0,,,0.0
413860154,0.0,0.0,511.0,350.2,未知,118.343555,0.0,XINGDUOJI9999 ,4.3,31.354366666666667,20241022143124,,,,
413774873,0.0,0.0,353.0,353.9,未知,118.34358666666668,0.0,JIANGHANG69,4.3,31.351641666666666,20241022143129,,,,
413794706,0.0,0.0,511.0,2.1,未知,118.34437333333334,0.0,LUJININGHUO6287,3.4,31.36657,20241022143127,,,,
413796641,0.0,57.0,511.0,358.6,货轮,118.34474666666668,9.0,JIA FU 5288,3.9,31.39791333333333,20241022143129,,,,0.0
413827846,0.0,126.0,511.0,4.0,货轮,118.34413333333332,21.0,XIN HUA JING XI,4.5,31.399496666666668,20241022143125,,,JIANGYIN,0.0
413778742,0.0,66.0,349.0,349.0,货轮,118.34691666666669,12.0,WANSHUNXIN218,5.1,31.425383333333333,20241022143123,,0000000,CHIZHOU,0.0
413832584,0.0,0.0,327.0,327.8,未知,118.345265,0.0,YU XIN HUO 19878,3.7,31.42981,20241022143123,,,,
413785668,0.0,54.0,12.0,12.1,货轮,118.34647166666667,10.0,,4.2,31.40478333333333,20241022143130,,YYYY,,
413834857,0.0,100.0,511.0,188.6,货轮,118.34260666666668,16.0,YU XIN HUO 18998,5.1,31.411381666666667,20241022143123,0.0,,0,0.0
412554560,0.0,112.0,511.0,360.0,货轮,118.3474,19.0,SHENGDAXUYUAN,0.0,31.4037,20241022143128,0.0,00,WUHU,0.0
413871086,0.0,0.0,511.0,3.9,未知,118.34791833333334,0.0,YVDACHENGJI9998,4.4,31.412266666666667,20241022143128,,,,
413786515,0.0,109.0,511.0,184.8,货轮,118.34394666666668,19.0,,4.1,31.412876666666666,20241022143123,,0,,
413766584,0.0,73.0,511.0,353.1,货轮,118.34750833333334,12.0,CHENG XING 189,4.1,31.335138333333333,20241022143131,0.0,,0,0.0
413824846,0.0,73.0,351.0,351.4,货轮,118.34683,13.0,WAN HAI YI 516,4.6,31.336973333333333,20241022143131,0.0,0000000,WUJING,0.0
413827074,0.0,0.0,511.0,164.4,未知,118.34353,0.0,XINCHANGJIANG26004,3.6,31.335171666666668,20241022143127,,,,
413806027,0.0,0.0,511.0,357.6,未知,118.34685333333331,0.0,CHANGHANGJINHE306,4.8,31.33401,20241022143125,,,,
413789888,0.0,0.0,349.0,349.8,未知,118.348125,0.0,WANWUHUHUO6188,5.4,31.33238833333333,20241022143124,,,,
413776668,0.0,119.0,511.0,348.9,货轮,118.34756,21.0,YU XIN HUO 18766,4.2,31.33220333333333,20241022143125,,,WUHAN,0.0
413827641,0.0,133.0,511.0,177.6,货轮,118.34382666666669,23.0,,5.2,31.331076666666668,20241022143126,,0000,,
413868611,0.0,0.0,511.0,348.7,未知,118.34542666666668,0.0,YIYOU52,8.5,31.33992333333333,20241022143127,,,,
1222,0.0,0.0,511.0,0.0,未知,118.34584,0.0,CHANGJIANGGONAN3008,0.0,31.385306666666665,20241022143130,0.0,,,0.0
